,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,41,0.498,0.317,0.367,0.481,0.697,0.004,0.626,0.999,-0.003,-0.031,-0.309,0.374,0.317,0.001,0.996,0.014
LIPNet,42,0.498,0.314,0.365,0.479,0.695,0.005,0.667,0.999,-0.004,-0.037,-0.352,0.333,0.315,0.001,0.995,0.014
LIPNet,43,0.499,0.315,0.366,0.48,0.696,0.004,0.578,0.999,-0.003,-0.027,-0.262,0.422,0.316,0.001,0.996,0.014
LIPNet,44,0.498,0.318,0.369,0.483,0.699,0.005,0.673,0.999,-0.004,-0.036,-0.354,0.327,0.319,0.001,0.995,0.014
LIPNet,45,0.499,0.316,0.366,0.48,0.696,0.004,0.597,0.999,-0.003,-0.026,-0.281,0.403,0.316,0.001,0.996,0.014
LIPNet,46,0.498,0.313,0.364,0.477,0.694,0.005,0.664,0.999,-0.004,-0.035,-0.35,0.336,0.314,0.001,0.995,0.014
LIPNet,47,0.498,0.316,0.366,0.48,0.696,0.004,0.64,0.999,-0.003,-0.032,-0.324,0.36,0.316,0.001,0.996,0.014
LIPNet,48,0.498,0.314,0.365,0.479,0.695,0.005,0.613,0.999,-0.004,-0.033,-0.298,0.387,0.315,0.001,0.995,0.014
LIPNet,49,0.498,0.316,0.367,0.481,0.697,0.005,0.623,0.999,-0.004,-0.031,-0.306,0.377,0.317,0.001,0.995,0.014
LIPNet,50,0.498,0.314,0.364,0.477,0.694,0.004,0.603,0.999,-0.003,-0.029,-0.289,0.397,0.314,0.001,0.996,0.014
LIPNet,51,0.498,0.315,0.365,0.479,0.695,0.005,0.719,0.999,-0.004,-0.039,-0.404,0.281,0.315,0.001,0.995,0.014
LIPNet,52,0.498,0.316,0.367,0.481,0.697,0.004,0.624,0.999,-0.003,-0.031,-0.307,0.376,0.317,0.001,0.996,0.014
LIPNet,53,0.498,0.315,0.366,0.48,0.696,0.005,0.694,0.999,-0.004,-0.038,-0.378,0.306,0.316,0.001,0.995,0.014
LIPNet,54,0.498,0.318,0.369,0.483,0.699,0.004,0.601,0.999,-0.003,-0.029,-0.282,0.399,0.319,0.001,0.996,0.014
LIPNet,55,0.498,0.318,0.368,0.482,0.698,0.005,0.718,0.999,-0.004,-0.04,-0.4,0.282,0.318,0.001,0.995,0.014
LIPNet,56,0.498,0.313,0.363,0.476,0.693,0.004,0.649,0.999,-0.003,-0.033,-0.336,0.351,0.313,0.001,0.996,0.014
LIPNet,57,0.498,0.314,0.365,0.479,0.695,0.004,0.618,0.999,-0.003,-0.031,-0.303,0.382,0.315,0.001,0.996,0.014
LIPNet,58,0.498,0.314,0.365,0.479,0.695,0.004,0.628,0.999,-0.003,-0.031,-0.313,0.372,0.315,0.001,0.996,0.014
LIPNet,59,0.498,0.317,0.367,0.481,0.697,0.005,0.641,0.999,-0.004,-0.034,-0.324,0.359,0.317,0.001,0.995,0.014
LIPNet,60,0.498,0.316,0.367,0.481,0.697,0.004,0.645,0.999,-0.003,-0.032,-0.328,0.355,0.317,0.001,0.996,0.014
LIPNet,61,0.498,0.316,0.367,0.481,0.697,0.005,0.642,0.999,-0.004,-0.034,-0.325,0.358,0.317,0.001,0.995,0.014
