,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,43,0.527,0.257,0.365,0.409,0.465,0.488,0.294,0.459,0.053,0.05,0.047,0.706,0.341,0.541,0.512,0.5
LIPNet,44,0.528,0.26,0.369,0.413,0.468,0.486,0.296,0.457,0.057,0.053,0.049,0.704,0.345,0.543,0.514,0.5
LIPNet,45,0.529,0.26,0.368,0.412,0.469,0.483,0.292,0.459,0.058,0.054,0.051,0.708,0.343,0.541,0.517,0.5
LIPNet,46,0.528,0.257,0.365,0.41,0.467,0.485,0.291,0.458,0.057,0.052,0.049,0.709,0.34,0.542,0.515,0.5
LIPNet,47,0.528,0.259,0.367,0.411,0.467,0.486,0.294,0.458,0.056,0.053,0.049,0.706,0.343,0.542,0.514,0.5
LIPNet,48,0.529,0.259,0.367,0.411,0.468,0.484,0.292,0.458,0.058,0.054,0.05,0.708,0.342,0.542,0.516,0.5
LIPNet,49,0.526,0.257,0.365,0.409,0.464,0.49,0.296,0.458,0.052,0.049,0.045,0.704,0.341,0.542,0.51,0.5
LIPNet,50,0.527,0.256,0.364,0.408,0.464,0.489,0.292,0.456,0.055,0.051,0.048,0.708,0.34,0.544,0.511,0.5
LIPNet,51,0.527,0.257,0.365,0.409,0.465,0.489,0.294,0.457,0.054,0.05,0.047,0.706,0.341,0.543,0.511,0.5
LIPNet,52,0.528,0.259,0.367,0.411,0.467,0.486,0.294,0.457,0.057,0.053,0.049,0.706,0.343,0.543,0.514,0.5
LIPNet,53,0.526,0.257,0.365,0.409,0.466,0.486,0.295,0.461,0.053,0.049,0.045,0.705,0.34,0.539,0.514,0.5
LIPNet,54,0.525,0.257,0.366,0.409,0.464,0.49,0.299,0.46,0.05,0.046,0.043,0.701,0.342,0.54,0.51,0.5
LIPNet,55,0.529,0.262,0.371,0.416,0.472,0.48,0.295,0.462,0.058,0.054,0.051,0.705,0.346,0.538,0.52,0.5
LIPNet,56,0.526,0.255,0.363,0.407,0.464,0.489,0.293,0.458,0.053,0.048,0.045,0.707,0.338,0.542,0.511,0.5
LIPNet,57,0.529,0.259,0.367,0.412,0.47,0.482,0.291,0.46,0.058,0.054,0.051,0.709,0.342,0.54,0.518,0.5
LIPNet,58,0.53,0.26,0.368,0.412,0.469,0.483,0.291,0.457,0.06,0.056,0.052,0.709,0.343,0.543,0.517,0.5
LIPNet,59,0.526,0.258,0.366,0.41,0.466,0.488,0.297,0.459,0.053,0.049,0.045,0.703,0.342,0.541,0.512,0.5
LIPNet,60,0.529,0.26,0.369,0.413,0.469,0.484,0.293,0.458,0.058,0.054,0.051,0.707,0.344,0.542,0.516,0.5
LIPNet,61,0.529,0.259,0.368,0.412,0.467,0.487,0.294,0.455,0.058,0.054,0.05,0.706,0.344,0.545,0.513,0.5
LIPNet,62,0.525,0.255,0.363,0.407,0.462,0.492,0.296,0.459,0.049,0.046,0.043,0.704,0.339,0.541,0.508,0.5
LIPNet,63,0.526,0.257,0.364,0.409,0.465,0.488,0.294,0.459,0.053,0.049,0.046,0.706,0.34,0.541,0.512,0.5
LIPNet,64,0.53,0.258,0.366,0.411,0.469,0.483,0.289,0.456,0.061,0.056,0.052,0.711,0.341,0.544,0.517,0.5
LIPNet,65,0.529,0.261,0.37,0.414,0.47,0.484,0.295,0.457,0.059,0.055,0.051,0.705,0.346,0.543,0.516,0.5
LIPNet,66,0.525,0.257,0.365,0.409,0.465,0.489,0.297,0.461,0.05,0.047,0.044,0.703,0.341,0.539,0.511,0.5
LIPNet,67,0.526,0.256,0.364,0.408,0.464,0.49,0.295,0.458,0.052,0.048,0.045,0.705,0.34,0.542,0.51,0.5
LIPNet,68,0.526,0.256,0.363,0.408,0.464,0.489,0.295,0.46,0.051,0.048,0.044,0.705,0.339,0.54,0.511,0.5
LIPNet,69,0.527,0.258,0.367,0.41,0.465,0.489,0.296,0.457,0.054,0.05,0.047,0.704,0.343,0.543,0.511,0.5
LIPNet,70,0.527,0.257,0.364,0.408,0.464,0.489,0.294,0.458,0.053,0.05,0.046,0.706,0.34,0.542,0.511,0.5
LIPNet,71,0.526,0.257,0.365,0.409,0.465,0.489,0.296,0.459,0.052,0.049,0.045,0.704,0.341,0.541,0.511,0.5
LIPNet,72,0.53,0.261,0.37,0.414,0.471,0.481,0.292,0.459,0.06,0.056,0.053,0.708,0.345,0.541,0.519,0.5
LIPNet,73,0.528,0.256,0.362,0.407,0.465,0.486,0.288,0.458,0.056,0.053,0.049,0.712,0.337,0.542,0.514,0.5
