predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
auc,0.526,0.526,0.95,0.95,0.899,0.899
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.884,0.117,0.182,0.002,0.233,0.003,0.383
0.883,0.118,0.183,0.002,0.238,0.003,0.386
0.882,0.119,0.184,0.002,0.244,0.003,0.388
0.881,0.12,0.185,0.002,0.249,0.003,0.392
0.88,0.121,0.186,0.002,0.254,0.003,0.395
0.879,0.122,0.188,0.002,0.259,0.003,0.397
0.878,0.123,0.188,0.002,0.263,0.004,0.399
0.877,0.124,0.19,0.002,0.268,0.004,0.402
0.876,0.125,0.191,0.002,0.274,0.004,0.404
0.875,0.125,0.192,0.002,0.278,0.004,0.407
0.874,0.126,0.193,0.002,0.283,0.004,0.409
0.873,0.127,0.194,0.002,0.287,0.004,0.412
0.872,0.128,0.195,0.002,0.292,0.004,0.414
0.871,0.129,0.196,0.002,0.296,0.004,0.416
0.87,0.13,0.198,0.002,0.301,0.004,0.419
0.869,0.131,0.199,0.002,0.306,0.004,0.42
0.868,0.132,0.2,0.002,0.31,0.004,0.423
0.867,0.133,0.201,0.003,0.315,0.004,0.426
0.866,0.134,0.202,0.003,0.319,0.004,0.428
0.865,0.135,0.203,0.003,0.323,0.004,0.43
0.864,0.136,0.204,0.003,0.328,0.005,0.432
0.863,0.137,0.205,0.003,0.332,0.005,0.435
0.862,0.138,0.206,0.003,0.336,0.005,0.437
0.861,0.139,0.207,0.003,0.341,0.005,0.439
0.86,0.14,0.208,0.003,0.345,0.005,0.441
0.859,0.141,0.209,0.003,0.349,0.005,0.443
0.858,0.142,0.21,0.003,0.354,0.005,0.444
0.857,0.143,0.211,0.003,0.358,0.005,0.447
0.856,0.144,0.213,0.003,0.361,0.005,0.448
0.855,0.145,0.214,0.003,0.364,0.006,0.45
0.854,0.146,0.215,0.003,0.368,0.006,0.452
0.853,0.147,0.216,0.003,0.37,0.006,0.454
0.852,0.148,0.217,0.003,0.374,0.006,0.456
0.851,0.149,0.218,0.003,0.377,0.006,0.458
0.85,0.15,0.219,0.003,0.38,0.006,0.46
0.849,0.151,0.22,0.003,0.383,0.006,0.462
0.848,0.151,0.221,0.003,0.386,0.006,0.464
0.847,0.152,0.222,0.003,0.389,0.006,0.466
0.846,0.153,0.223,0.003,0.391,0.006,0.468
0.845,0.154,0.224,0.003,0.394,0.007,0.471
0.844,0.155,0.225,0.003,0.396,0.007,0.473
0.843,0.156,0.227,0.003,0.399,0.007,0.474
0.842,0.157,0.228,0.003,0.402,0.007,0.476
0.841,0.157,0.229,0.003,0.404,0.007,0.478
0.84,0.158,0.23,0.003,0.407,0.007,0.48
0.839,0.159,0.231,0.003,0.409,0.007,0.482
0.838,0.16,0.232,0.003,0.412,0.007,0.484
0.837,0.161,0.233,0.003,0.414,0.008,0.486
0.836,0.162,0.234,0.003,0.416,0.008,0.488
0.835,0.163,0.235,0.003,0.419,0.008,0.49
0.834,0.164,0.235,0.003,0.421,0.008,0.491
0.833,0.164,0.237,0.003,0.424,0.008,0.493
0.832,0.165,0.238,0.003,0.427,0.008,0.495
0.831,0.166,0.239,0.003,0.429,0.009,0.496
0.83,0.167,0.24,0.003,0.431,0.009,0.498
0.829,0.168,0.241,0.003,0.433,0.009,0.5
0.828,0.169,0.242,0.003,0.435,0.009,0.502
0.827,0.17,0.243,0.003,0.437,0.009,0.503
0.826,0.171,0.244,0.003,0.439,0.009,0.505
0.825,0.172,0.244,0.003,0.441,0.009,0.507
0.824,0.173,0.245,0.003,0.443,0.01,0.508
0.823,0.174,0.246,0.003,0.445,0.01,0.51
0.822,0.175,0.247,0.003,0.447,0.01,0.512
0.821,0.175,0.248,0.003,0.449,0.01,0.513
0.82,0.176,0.25,0.003,0.451,0.01,0.515
0.819,0.177,0.25,0.003,0.453,0.01,0.516
0.818,0.178,0.251,0.004,0.455,0.011,0.518
0.817,0.179,0.252,0.004,0.457,0.011,0.52
0.816,0.18,0.254,0.004,0.459,0.011,0.521
0.815,0.181,0.255,0.004,0.461,0.011,0.523
0.814,0.182,0.256,0.004,0.463,0.011,0.525
0.813,0.183,0.257,0.004,0.465,0.011,0.526
0.812,0.184,0.258,0.004,0.467,0.012,0.528
0.811,0.184,0.259,0.004,0.468,0.012,0.53
0.81,0.185,0.26,0.004,0.47,0.012,0.531
0.809,0.186,0.261,0.004,0.472,0.012,0.533
0.808,0.187,0.262,0.004,0.474,0.012,0.535
0.807,0.188,0.263,0.004,0.476,0.012,0.536
0.806,0.189,0.263,0.004,0.478,0.013,0.538
0.805,0.19,0.264,0.004,0.48,0.013,0.54
0.804,0.19,0.266,0.004,0.482,0.013,0.541
0.803,0.191,0.267,0.004,0.484,0.013,0.543
