predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
0.885,0.181,0.419,0.228,0.98,0.381,0.982
0.884,0.182,0.419,0.233,0.98,0.383,0.982
0.883,0.183,0.419,0.238,0.98,0.386,0.982
0.882,0.184,0.418,0.244,0.98,0.388,0.982
0.881,0.185,0.417,0.249,0.981,0.392,0.982
0.88,0.186,0.417,0.254,0.981,0.395,0.982
0.879,0.188,0.416,0.259,0.981,0.397,0.981
0.878,0.188,0.416,0.263,0.981,0.399,0.981
0.877,0.19,0.416,0.268,0.981,0.402,0.981
0.876,0.191,0.415,0.274,0.982,0.404,0.981
0.875,0.192,0.414,0.278,0.982,0.407,0.981
0.874,0.193,0.414,0.283,0.982,0.409,0.98
0.873,0.194,0.414,0.287,0.982,0.412,0.98
0.872,0.195,0.413,0.292,0.982,0.414,0.98
0.871,0.196,0.413,0.296,0.983,0.416,0.98
0.87,0.198,0.413,0.301,0.983,0.419,0.98
0.869,0.199,0.412,0.306,0.983,0.42,0.98
0.868,0.2,0.412,0.31,0.983,0.423,0.979
0.867,0.201,0.411,0.315,0.983,0.426,0.979
0.866,0.202,0.411,0.319,0.983,0.428,0.979
0.865,0.203,0.41,0.323,0.984,0.43,0.978
0.864,0.204,0.41,0.328,0.984,0.432,0.978
0.863,0.205,0.409,0.332,0.984,0.435,0.977
0.862,0.206,0.408,0.336,0.984,0.437,0.977
0.861,0.207,0.407,0.341,0.984,0.439,0.977
0.86,0.208,0.407,0.345,0.984,0.441,0.976
0.859,0.209,0.406,0.349,0.985,0.443,0.976
0.858,0.21,0.406,0.354,0.985,0.444,0.976
0.857,0.211,0.406,0.358,0.985,0.447,0.975
0.856,0.213,0.406,0.361,0.985,0.448,0.975
0.855,0.214,0.406,0.364,0.985,0.45,0.974
0.854,0.215,0.406,0.368,0.985,0.452,0.974
0.853,0.216,0.406,0.37,0.985,0.454,0.974
0.852,0.217,0.405,0.374,0.985,0.456,0.973
